27-02-2017;04:28:35;1.0564
27-02-2017;04:30:35;1.0568
27-02-2017;04:32:35;1.0570
27-02-2017;04:34:35;1.0562
27-02-2017;04:36:35;1.0570
27-02-2017;04:38:35;1.0568
27-02-2017;04:40:35;1.0570
27-02-2017;04:42:35;1.0564
27-02-2017;04:44:35;1.0570
27-02-2017;04:46:35;1.0568
27-02-2017;04:48:35;1.0570
27-02-2017;04:50:35;1.0570
27-02-2017;04:52:35;1.0568
27-02-2017;04:54:35;1.0570
27-02-2017;04:56:35;1.0562
27-02-2017;04:58:35;1.0568
27-02-2017;05:00:35;1.0562
27-02-2017;05:02:35;1.0564
27-02-2017;05:04:35;1.0568
27-02-2017;05:06:35;1.0568
27-02-2017;05:08:35;1.0568
27-02-2017;05:10:35;1.0568
27-02-2017;05:12:35;1.0564
27-02-2017;05:14:35;1.0564
27-02-2017;05:16:35;1.0570
27-02-2017;05:18:35;1.0570
27-02-2017;05:20:35;1.0562
27-02-2017;05:22:35;1.0568
27-02-2017;05:24:35;1.0570
27-02-2017;05:26:35;1.0562
27-02-2017;05:28:35;1.0570
27-02-2017;05:30:35;1.0562
27-02-2017;05:32:35;1.0564
27-02-2017;05:34:35;1.0562
27-02-2017;05:36:35;1.0570
27-02-2017;05:38:35;1.0562
27-02-2017;05:40:35;1.0568
27-02-2017;05:42:35;1.0564
27-02-2017;05:44:35;1.0562
27-02-2017;05:46:35;1.0562
27-02-2017;05:48:35;1.0570
27-02-2017;05:50:35;1.0562
27-02-2017;05:52:35;1.0562
27-02-2017;05:54:35;1.0564
27-02-2017;05:56:35;1.0568
27-02-2017;05:58:35;1.0562
27-02-2017;06:00:35;1.0570
27-02-2017;06:02:35;1.0562
27-02-2017;06:04:35;1.0568
27-02-2017;06:06:35;1.0562
27-02-2017;06:08:35;1.0562
27-02-2017;06:10:35;1.0570
27-02-2017;06:12:35;1.0570
27-02-2017;06:14:35;1.0570
27-02-2017;06:16:35;1.0562
27-02-2017;06:18:35;1.0568
27-02-2017;06:20:35;1.0564
27-02-2017;06:22:35;1.0570
27-02-2017;06:24:35;1.0568
27-02-2017;06:26:35;1.0568
27-02-2017;06:28:35;1.0570
27-02-2017;06:30:35;1.0567
27-02-2017;06:32:35;1.0570
27-02-2017;06:34:35;1.0567
27-02-2017;06:36:35;1.0568
27-02-2017;06:38:35;1.0567
27-02-2017;06:40:35;1.0564
27-02-2017;06:42:35;1.0567
27-02-2017;06:44:35;1.0564
27-02-2017;06:46:35;1.0564
27-02-2017;06:48:35;1.0567
27-02-2017;06:50:35;1.0564
27-02-2017;06:52:35;1.0564
27-02-2017;06:54:35;1.0568
27-02-2017;06:56:35;1.0568
27-02-2017;06:58:35;1.0564
27-02-2017;07:00:35;1.0570
